               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09572,            0.035292,            0.045206,             0.20835,             0.33384,             0.17474,            0.076934,            0.069391,            0.017841,             0.03173,              0.0757,              0.0027,              0.0027
                   1,            0.063403,            0.029327,            0.030619,             0.25806,             0.44679,             0.34453,             0.15509,            0.064835,            0.011921,            0.027036,            0.049411,            0.004411,            0.004411
                   2,            0.058197,            0.027328,            0.025284,             0.29671,             0.51341,             0.35372,             0.14305,            0.064427,            0.010848,            0.023373,            0.022013,           0.0050132,           0.0050132
                   3,            0.053049,            0.025105,            0.021505,             0.41335,             0.51725,             0.45182,             0.24371,            0.053378,            0.010848,            0.020498,             0.00406,             0.00406,             0.00406
                   4,            0.050022,            0.023967,             0.01871,             0.43172,             0.54459,             0.46866,             0.26117,            0.050862,            0.011241,            0.017976,             0.00406,             0.00406,             0.00406
                   0,             0.09572,            0.035292,            0.045206,             0.20835,             0.33384,             0.17474,            0.076934,            0.069391,            0.017841,             0.03173,              0.0757,              0.0027,              0.0027
                   1,            0.063403,            0.029327,            0.030619,             0.25806,             0.44679,             0.34453,             0.15509,            0.064835,            0.011921,            0.027036,            0.049411,            0.004411,            0.004411
                   2,            0.058197,            0.027328,            0.025284,             0.29671,             0.51341,             0.35372,             0.14305,            0.064427,            0.010848,            0.023373,            0.022013,           0.0050132,           0.0050132
                   3,            0.053049,            0.025105,            0.021505,             0.41335,             0.51725,             0.45182,             0.24371,            0.053378,            0.010848,            0.020498,             0.00406,             0.00406,             0.00406
                   4,            0.050022,            0.023967,             0.01871,             0.43172,             0.54459,             0.46866,             0.26117,            0.050862,            0.011241,            0.017976,             0.00406,             0.00406,             0.00406
